Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,30
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,12
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,15
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,78
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,69
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,99
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,177
2016/2017,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,1155
2017/2018,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,963
2018/2019,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,1899
2019/2020,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,2829
2016/2017,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,4494
2017/2018,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,7431
2018/2019,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,8766
2019/2020,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,7020
2016/2017,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,402
2017/2018,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,369
2018/2019,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,306
2019/2020,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,360
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,93
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,129
